city,latitude,longitude,temperature,time
Adrar,27.9,-0.29999924,40.3,2023-06-10T12:00
Algiers,36.6875,3.125,27.8,2023-06-10T12:00
Annaba,36.875,7.75,23.8,2023-06-10T12:00
Batna,35.5625,6.25,23.8,2023-06-10T12:00
Bechar,31.625,-2.1875,34.5,2023-06-10T12:00
Djanet,24.5,9.5,38.3,2023-06-10T12:00
Ouargla,31.9375,5.3125,37.8,2023-06-10T12:00
Tamanrasset,22.8,5.5,38.1,2023-06-10T12:00
Timimoun,29.3,0.20000076,38.4,2023-06-10T12:00
Tizi-Ouzou,36.6875,4.0625,26.1,2023-06-10T12:00
Tlemcen,34.875,-1.3125,23.7,2023-06-10T12:00
